V1,V2,V3,V4
328,320,648,0.493827160493827
865,933,1798,0.518909899888765
923,999,1922,0.519771071800208
568,610,1178,0.517826825127334
916,1006,1922,0.523413111342352
435,445,880,0.505681818181818
642,722,1364,0.529325513196481
922,1000,1922,0.520291363163371
891,969,1860,0.520967741935484
518,526,1044,0.503831417624521
650,694,1344,0.516369047619048
917,1005,1922,0.522892819979188
775,837,1612,0.519230769230769
437,481,918,0.5239651416122
504,550,1054,0.521821631878558
714,774,1488,0.520161290322581
605,635,1240,0.512096774193548
559,619,1178,0.525466893039049
408,432,840,0.514285714285714
496,504,1000,0.504
381,419,800,0.52375
776,844,1620,0.520987654320988
884,976,1860,0.524731182795699
797,877,1674,0.52389486260454
914,1008,1922,0.524453694068678
462,504,966,0.521739130434783
924,998,1922,0.519250780437045
929,993,1922,0.516649323621228
855,943,1798,0.524471635150167
913,1009,1922,0.524973985431842
912,1010,1922,0.525494276795005
574,622,1196,0.520066889632107
768,844,1612,0.523573200992556
925,997,1922,0.518730489073881
879,981,1860,0.52741935483871
913,1009,1922,0.524973985431842
921,1001,1922,0.520811654526535
443,441,884,0.498868778280543
750,800,1550,0.516129032258065
913,1009,1922,0.524973985431842
588,652,1240,0.525806451612903
503,551,1054,0.522770398481973
920,1002,1922,0.521331945889698
505,549,1054,0.520872865275142
909,1013,1922,0.527055150884495
524,530,1054,0.502846299810247
913,1009,1922,0.524973985431842
920,1002,1922,0.521331945889698
858,940,1798,0.522803114571746
856,944,1800,0.524444444444444
750,800,1550,0.516129032258065
717,771,1488,0.518145161290323
672,720,1392,0.517241379310345
327,319,646,0.493808049535604
540,600,1140,0.526315789473684
865,933,1798,0.518909899888765
524,530,1054,0.502846299810247
768,844,1612,0.523573200992556
715,773,1488,0.519489247311828
560,618,1178,0.524617996604414
913,1009,1922,0.524973985431842
435,477,912,0.523026315789474
559,591,1150,0.513913043478261
346,334,680,0.491176470588235
771,841,1612,0.521712158808933
369,379,748,0.50668449197861
300,278,578,0.480968858131488
507,547,1054,0.518975332068311
711,777,1488,0.522177419354839
503,551,1054,0.522770398481973
912,1010,1922,0.525494276795005
572,606,1178,0.514431239388795
654,710,1364,0.520527859237537
677,749,1426,0.525245441795231
901,1021,1922,0.531217481789802
653,711,1364,0.521260997067449
530,524,1054,0.497153700189753
915,1007,1922,0.523933402705515
526,528,1054,0.500948766603416
505,549,1054,0.520872865275142
626,676,1302,0.519201228878648
629,673,1302,0.51689708141321
401,381,782,0.487212276214834
805,869,1674,0.519115890083632
923,999,1922,0.519771071800208
732,780,1512,0.515873015873016
