V1,V2,V3,V4
906,830,1736,0.478110599078341
975,885,1860,0.475806451612903
1005,917,1922,0.477107180020812
573,481,1054,0.456356736242884
990,932,1922,0.484911550468262
750,676,1426,0.474053295932679
1008,914,1922,0.475546305931322
719,645,1364,0.472873900293255
698,636,1334,0.476761619190405
784,728,1512,0.481481481481481
938,860,1798,0.478309232480534
676,626,1302,0.480798771121352
778,710,1488,0.477150537634409
434,366,800,0.4575
564,490,1054,0.464895635673624
566,488,1054,0.462998102466793
554,490,1044,0.469348659003831
995,927,1922,0.482310093652445
624,554,1178,0.470288624787776
872,802,1674,0.479091995221027
0,2,2,1
402,312,714,0.436974789915966
774,714,1488,0.479838709677419
619,559,1178,0.474533106960951
561,493,1054,0.467741935483871
618,560,1178,0.475382003395586
997,925,1922,0.481269510926119
504,448,952,0.470588235294118
395,353,748,0.47192513368984
972,888,1860,0.47741935483871
1009,913,1922,0.475026014568158
999,923,1922,0.480228928199792
998,924,1922,0.480749219562955
843,769,1612,0.477047146401985
1013,909,1922,0.472944849115505
1010,912,1922,0.474505723204995
1010,912,1922,0.474505723204995
947,851,1798,0.473303670745273
626,592,1218,0.486042692939245
938,860,1798,0.478309232480534
528,484,1012,0.478260869565217
474,410,884,0.463800904977376
682,558,1240,0.45
847,765,1612,0.474565756823821
566,488,1054,0.462998102466793
639,601,1240,0.484677419354839
817,733,1550,0.472903225806452
599,517,1116,0.46326164874552
571,483,1054,0.458254269449715
904,832,1736,0.47926267281106
621,557,1178,0.472835314091681
670,632,1302,0.485407066052227
875,799,1674,0.477299880525687
536,456,992,0.459677419354839
753,673,1426,0.47194950911641
999,923,1922,0.480228928199792
975,885,1860,0.475806451612903
564,490,1054,0.464895635673624
502,418,920,0.454347826086957
567,487,1054,0.462049335863378
1010,912,1922,0.474505723204995
743,683,1426,0.478962131837307
480,432,912,0.473684210526316
507,429,936,0.458333333333333
619,577,1196,0.482441471571906
583,517,1100,0.47
754,702,1456,0.482142857142857
725,639,1364,0.468475073313783
1007,915,1922,0.476066597294485
318,260,578,0.449826989619377
1001,921,1922,0.479188345473465
698,604,1302,0.463901689708141
968,892,1860,0.479569892473118
1002,920,1922,0.478668054110302
1008,914,1922,0.475546305931322
839,773,1612,0.479528535980149
815,735,1550,0.474193548387097
997,925,1922,0.481269510926119
347,299,646,0.462848297213622
779,709,1488,0.476478494623656
991,931,1922,0.484391259105099
529,463,992,0.466733870967742
1015,907,1922,0.471904266389178
