V1,V2,V3,V4
379,449,828,0.542270531400966
629,721,1350,0.534074074074074
469,523,992,0.527217741935484
465,527,992,0.53125
934,988,1922,0.514047866805411
677,749,1426,0.525245441795231
934,988,1922,0.514047866805411
552,626,1178,0.531409168081494
665,761,1426,0.533660589060309
569,649,1218,0.532840722495895
733,817,1550,0.527096774193548
720,792,1512,0.523809523809524
499,555,1054,0.526565464895636
909,1013,1922,0.527055150884495
611,691,1302,0.530721966205837
681,769,1450,0.530344827586207
477,515,992,0.519153225806452
825,911,1736,0.524769585253456
914,1008,1922,0.524453694068678
931,991,1922,0.515608740894901
563,655,1218,0.537766830870279
785,827,1612,0.51302729528536
612,684,1296,0.527777777777778
914,1008,1922,0.524453694068678
577,663,1240,0.534677419354839
682,744,1426,0.521739130434783
465,543,1008,0.538690476190476
921,1001,1922,0.520811654526535
632,732,1364,0.536656891495601
930,992,1922,0.516129032258065
495,559,1054,0.530360531309298
498,556,1054,0.527514231499051
442,524,966,0.542443064182195
548,630,1178,0.534804753820034
791,883,1674,0.527479091995221
372,444,816,0.544117647058823
627,737,1364,0.540322580645161
655,737,1392,0.529454022988506
917,1005,1922,0.522892819979188
779,833,1612,0.516749379652605
923,999,1922,0.519771071800208
837,899,1736,0.517857142857143
625,739,1364,0.541788856304985
663,763,1426,0.535063113604488
634,730,1364,0.535190615835777
666,760,1426,0.532959326788219
457,551,1008,0.546626984126984
917,1005,1922,0.522892819979188
564,676,1240,0.545161290322581
559,619,1178,0.525466893039049
521,595,1116,0.533154121863799
926,996,1922,0.518210197710718
824,912,1736,0.525345622119816
927,995,1922,0.517689906347555
11,7,18,0.388888888888889
764,848,1612,0.52605459057072
924,998,1922,0.519250780437045
526,590,1116,0.528673835125448
908,1014,1922,0.527575442247659
905,1017,1922,0.529136316337149
303,377,680,0.554411764705882
395,455,850,0.535294117647059
500,554,1054,0.52561669829222
607,695,1302,0.533794162826421
802,880,1682,0.523186682520809
723,827,1550,0.533548387096774
490,564,1054,0.535104364326376
490,564,1054,0.535104364326376
523,593,1116,0.531362007168459
466,520,986,0.527383367139959
554,624,1178,0.529711375212224
530,620,1150,0.539130434782609
922,1000,1922,0.520291363163371
933,989,1922,0.514568158168574
427,491,918,0.534858387799564
546,632,1178,0.536502546689304
732,818,1550,0.527741935483871
476,564,1040,0.542307692307692
708,780,1488,0.524193548387097
930,992,1922,0.516129032258065
921,1001,1922,0.520811654526535
923,999,1922,0.519771071800208
