V1,V2,V3,V4
465,409,874,0.467963386727689
879,733,1612,0.454714640198511
566,488,1054,0.462998102466793
324,288,612,0.470588235294118
1033,889,1922,0.462539021852237
961,837,1798,0.46551724137931
824,726,1550,0.468387096774194
910,770,1680,0.458333333333333
1043,879,1922,0.457336108220604
530,458,988,0.463562753036437
645,551,1196,0.460702341137124
559,497,1056,0.470643939393939
1035,887,1922,0.46149843912591
744,648,1392,0.46551724137931
1,1,2,0.5
396,352,748,0.470588235294118
529,457,986,0.463488843813387
372,342,714,0.478991596638655
509,457,966,0.473084886128364
675,627,1302,0.481566820276498
868,752,1620,0.464197530864198
1026,896,1922,0.466181061394381
456,424,880,0.481818181818182
1029,893,1922,0.464620187304891
733,617,1350,0.457037037037037
551,469,1020,0.459803921568627
592,524,1116,0.469534050179211
876,736,1612,0.456575682382134
993,867,1860,0.466129032258065
507,445,952,0.467436974789916
1030,892,1922,0.464099895941727
653,607,1260,0.481746031746032
603,513,1116,0.459677419354839
1035,887,1922,0.46149843912591
666,574,1240,0.462903225806452
680,568,1248,0.455128205128205
1028,894,1922,0.465140478668054
927,809,1736,0.466013824884793
821,729,1550,0.470322580645161
1030,892,1922,0.464099895941727
556,498,1054,0.472485768500949
1034,888,1922,0.462018730489074
826,724,1550,0.467096774193548
688,588,1276,0.460815047021944
1021,901,1922,0.468782518210198
567,513,1080,0.475
1040,882,1922,0.458896982310094
698,604,1302,0.463901689708141
958,840,1798,0.467185761957731
557,497,1054,0.471537001897533
558,496,1054,0.470588235294118
1037,885,1922,0.460457856399584
1032,890,1922,0.463059313215401
1030,892,1922,0.464099895941727
1029,893,1922,0.464620187304891
1030,892,1922,0.464099895941727
461,389,850,0.457647058823529
1036,886,1922,0.460978147762747
817,683,1500,0.455333333333333
929,807,1736,0.464861751152074
999,861,1860,0.462903225806452
1035,887,1922,0.46149843912591
1026,896,1922,0.466181061394381
713,651,1364,0.477272727272727
845,705,1550,0.454838709677419
569,485,1054,0.460151802656546
451,423,874,0.483981693363844
711,653,1364,0.478739002932551
1023,899,1922,0.467741935483871
573,481,1054,0.456356736242884
696,606,1302,0.465437788018433
426,374,800,0.4675
641,599,1240,0.483064516129032
1021,901,1922,0.468782518210198
965,833,1798,0.46329254727475
1032,890,1922,0.463059313215401
745,619,1364,0.453812316715543
779,647,1426,0.453716690042076
706,658,1364,0.482404692082111
676,626,1302,0.480798771121352
821,729,1550,0.470322580645161
614,526,1140,0.46140350877193
969,829,1798,0.461067853170189
573,543,1116,0.486559139784946
825,725,1550,0.467741935483871
