V1,V2,V3,V4
966,956,1922,0.497398543184183
588,612,1200,0.51
705,721,1426,0.505610098176718
304,308,612,0.503267973856209
961,961,1922,0.5
859,877,1736,0.505184331797235
919,941,1860,0.505913978494624
495,471,966,0.487577639751553
816,858,1674,0.512544802867383
950,972,1922,0.505723204994797
518,562,1080,0.52037037037037
958,964,1922,0.50156087408949
411,439,850,0.516470588235294
802,810,1612,0.502481389578164
628,648,1276,0.507836990595611
967,955,1922,0.49687825182102
965,957,1922,0.497918834547347
950,972,1922,0.505723204994797
958,964,1922,0.50156087408949
961,961,1922,0.5
953,969,1922,0.504162330905307
956,966,1922,0.502601456815817
931,929,1860,0.499462365591398
750,762,1512,0.503968253968254
580,598,1178,0.507640067911715
402,380,782,0.485933503836317
608,632,1240,0.509677419354839
511,543,1054,0.515180265654649
681,683,1364,0.500733137829912
709,717,1426,0.502805049088359
541,513,1054,0.486717267552182
337,343,680,0.504411764705882
627,613,1240,0.494354838709677
820,854,1674,0.510155316606929
835,845,1680,0.50297619047619
930,930,1860,0.5
721,705,1426,0.494389901823282
895,903,1798,0.502224694104561
709,717,1426,0.502805049088359
943,979,1922,0.509365244536941
965,957,1922,0.497918834547347
865,871,1736,0.501728110599078
484,452,936,0.482905982905983
516,538,1054,0.510436432637571
957,965,1922,0.502081165452653
515,539,1054,0.511385199240987
952,970,1922,0.50468262226847
952,970,1922,0.50468262226847
774,776,1550,0.500645161290323
929,931,1860,0.500537634408602
962,960,1922,0.499479708636837
600,578,1178,0.490662139219015
773,777,1550,0.501290322580645
1,1,2,0.5
647,629,1276,0.49294670846395
946,976,1922,0.507804370447451
788,824,1612,0.511166253101737
816,858,1674,0.512544802867383
963,959,1922,0.498959417273673
680,684,1364,0.501466275659824
588,590,1178,0.500848896434635
709,717,1426,0.502805049088359
705,721,1426,0.505610098176718
956,966,1922,0.502601456815817
458,494,952,0.51890756302521
524,532,1056,0.503787878787879
967,955,1922,0.49687825182102
955,967,1922,0.50312174817898
835,839,1674,0.501194743130227
861,875,1736,0.504032258064516
543,573,1116,0.513440860215054
604,636,1240,0.512903225806452
514,540,1054,0.512333965844402
630,610,1240,0.491935483870968
802,810,1612,0.502481389578164
957,965,1922,0.502081165452653
627,613,1240,0.494354838709677
945,977,1922,0.508324661810614
746,742,1488,0.498655913978495
697,667,1364,0.48900293255132
429,445,874,0.509153318077803
919,941,1860,0.505913978494624
960,962,1922,0.500520291363163
