V1,V2,V3,V4
906,954,1860,0.512903225806452
955,967,1922,0.50312174817898
635,715,1350,0.52962962962963
609,631,1240,0.508870967741936
909,951,1860,0.511290322580645
906,954,1860,0.512903225806452
943,979,1922,0.509365244536941
387,413,800,0.51625
357,357,714,0.5
525,529,1054,0.501897533206831
777,835,1612,0.517990074441687
945,977,1922,0.508324661810614
751,809,1560,0.518589743589744
450,470,920,0.510869565217391
935,987,1922,0.513527575442248
753,797,1550,0.514193548387097
663,701,1364,0.513929618768328
933,989,1922,0.514568158168574
587,591,1178,0.50169779286927
931,991,1922,0.515608740894901
713,775,1488,0.520833333333333
524,576,1100,0.523636363636364
901,959,1860,0.515591397849462
699,727,1426,0.509817671809257
712,776,1488,0.521505376344086
604,636,1240,0.512903225806452
940,982,1922,0.510926118626431
468,484,952,0.508403361344538
939,983,1922,0.511446409989594
832,904,1736,0.52073732718894
934,988,1922,0.514047866805411
940,982,1922,0.510926118626431
932,990,1922,0.515088449531738
408,442,850,0.52
460,490,950,0.515789473684211
640,662,1302,0.508448540706605
749,801,1550,0.516774193548387
903,957,1860,0.514516129032258
527,527,1054,0.5
933,989,1922,0.514568158168574
620,620,1240,0.5
943,979,1922,0.509365244536941
912,948,1860,0.509677419354839
935,987,1922,0.513527575442248
468,498,966,0.515527950310559
490,502,992,0.506048387096774
709,779,1488,0.523521505376344
642,708,1350,0.524444444444444
801,873,1674,0.521505376344086
937,985,1922,0.512486992715921
933,989,1922,0.514568158168574
521,533,1054,0.505692599620493
933,989,1922,0.514568158168574
532,522,1054,0.495256166982922
953,969,1922,0.504162330905307
648,686,1334,0.51424287856072
634,668,1302,0.513056835637481
951,971,1922,0.505202913631634
521,533,1054,0.505692599620493
643,659,1302,0.506144393241167
943,979,1922,0.509365244536941
641,661,1302,0.507680491551459
941,981,1922,0.510405827263267
644,676,1320,0.512121212121212
749,819,1568,0.522321428571429
609,631,1240,0.508870967741936
569,609,1178,0.5169779286927
704,722,1426,0.506311360448808
736,814,1550,0.525161290322581
810,864,1674,0.516129032258065
960,962,1922,0.500520291363163
514,566,1080,0.524074074074074
550,566,1116,0.507168458781362
809,865,1674,0.516726403823178
534,520,1054,0.493358633776091
609,631,1240,0.508870967741936
728,760,1488,0.510752688172043
945,977,1922,0.508324661810614
881,917,1798,0.510011123470523
935,987,1922,0.513527575442248
757,793,1550,0.511612903225806
