V1,V2,V3,V4
951,723,1674,0.431899641577061
568,452,1020,0.443137254901961
795,631,1426,0.44249649368864
1083,839,1922,0.436524453694069
786,578,1364,0.42375366568915
1,1,2,0.5
696,544,1240,0.438709677419355
1089,833,1922,0.433402705515088
1081,841,1922,0.437565036420395
667,493,1160,0.425
621,433,1054,0.410815939278937
851,637,1488,0.428091397849462
1076,846,1922,0.440166493236212
822,666,1488,0.44758064516129
1014,784,1798,0.436040044493882
494,346,840,0.411904761904762
619,435,1054,0.412713472485769
1085,837,1922,0.435483870967742
587,467,1054,0.443074003795066
1,1,2,0.5
1076,846,1922,0.440166493236212
1088,834,1922,0.433922996878252
698,542,1240,0.437096774193548
753,549,1302,0.421658986175115
813,643,1456,0.441620879120879
1046,814,1860,0.437634408602151
752,582,1334,0.436281859070465
885,665,1550,0.429032258064516
928,746,1674,0.445639187574671
484,366,850,0.430588235294118
1039,821,1860,0.441397849462366
921,753,1674,0.449820788530466
1075,847,1922,0.440686784599376
622,494,1116,0.442652329749104
961,775,1736,0.446428571428571
1073,849,1922,0.441727367325702
887,663,1550,0.427741935483871
445,303,748,0.405080213903743
1074,848,1922,0.441207075962539
737,551,1288,0.427795031055901
884,666,1550,0.429677419354839
1077,845,1922,0.439646201873049
596,444,1040,0.426923076923077
434,314,748,0.419786096256685
1073,849,1922,0.441727367325702
1042,818,1860,0.439784946236559
1079,843,1922,0.438605619146722
523,389,912,0.426535087719298
1080,842,1922,0.438085327783559
1045,815,1860,0.438172043010753
853,697,1550,0.449677419354839
917,707,1624,0.435344827586207
1092,830,1922,0.431841831425598
1076,846,1922,0.440166493236212
589,465,1054,0.441176470588235
645,471,1116,0.422043010752688
895,717,1612,0.444789081885856
1082,840,1922,0.437044745057232
1074,848,1922,0.441207075962539
1,1,2,0.5
962,712,1674,0.425328554360812
987,749,1736,0.431451612903226
587,467,1054,0.443074003795066
602,462,1064,0.434210526315789
830,658,1488,0.442204301075269
1081,841,1922,0.437565036420395
513,371,884,0.419683257918552
588,466,1054,0.442125237191651
861,647,1508,0.429045092838196
573,427,1000,0.427
1076,846,1922,0.440166493236212
1038,822,1860,0.441935483870968
1048,812,1860,0.436559139784946
734,568,1302,0.436251920122888
593,399,992,0.402217741935484
395,289,684,0.422514619883041
930,744,1674,0.444444444444444
954,720,1674,0.43010752688172
783,581,1364,0.425953079178886
745,557,1302,0.427803379416283
1078,844,1922,0.439125910509886
373,273,646,0.422600619195046
980,756,1736,0.435483870967742
1085,837,1922,0.435483870967742
598,422,1020,0.413725490196078
711,529,1240,0.426612903225806
1074,848,1922,0.441207075962539
564,402,966,0.416149068322981
