V1,V2,V3,V4
691,629,1320,0.476515151515152
543,511,1054,0.484819734345351
993,929,1922,0.483350676378772
978,944,1922,0.491155046826223
853,821,1674,0.490442054958184
990,932,1922,0.484911550468262
983,939,1922,0.488553590010406
543,511,1054,0.484819734345351
503,483,986,0.489858012170385
984,938,1922,0.488033298647242
983,939,1922,0.488553590010406
683,619,1302,0.47542242703533
906,892,1798,0.496106785317019
882,854,1736,0.491935483870968
534,474,1008,0.470238095238095
1,1,2,0.5
751,737,1488,0.495295698924731
584,576,1160,0.496551724137931
987,935,1922,0.486472424557752
988,934,1922,0.485952133194589
988,934,1922,0.485952133194589
596,600,1196,0.501672240802676
886,850,1736,0.48963133640553
949,911,1860,0.489784946236559
628,612,1240,0.493548387096774
608,570,1178,0.483870967741935
972,950,1922,0.494276795005203
528,522,1050,0.497142857142857
710,690,1400,0.492857142857143
682,620,1302,0.476190476190476
846,836,1682,0.497027348394768
977,945,1922,0.491675338189386
1,1,2,0.5
622,556,1178,0.471986417657046
982,940,1922,0.489073881373569
992,930,1922,0.483870967741935
882,854,1736,0.491935483870968
1,1,2,0.5
545,475,1020,0.465686274509804
994,928,1922,0.482830385015609
777,723,1500,0.482
288,256,544,0.470588235294118
717,709,1426,0.497194950911641
978,944,1922,0.491155046826223
424,392,816,0.480392156862745
978,944,1922,0.491155046826223
690,674,1364,0.494134897360704
640,608,1248,0.487179487179487
538,502,1040,0.482692307692308
688,676,1364,0.495601173020528
790,760,1550,0.490322580645161
667,635,1302,0.487711213517665
985,937,1922,0.487513007284079
883,853,1736,0.491359447004608
540,514,1054,0.487666034155598
849,825,1674,0.492831541218638
539,519,1058,0.49054820415879
827,785,1612,0.48697270471464
983,939,1922,0.488553590010406
987,935,1922,0.486472424557752
892,844,1736,0.486175115207373
613,565,1178,0.479626485568761
472,452,924,0.489177489177489
347,299,646,0.462848297213622
784,766,1550,0.494193548387097
985,937,1922,0.487513007284079
986,936,1922,0.486992715920916
719,645,1364,0.472873900293255
448,426,874,0.487414187643021
339,307,646,0.475232198142415
914,884,1798,0.491657397107898
981,941,1922,0.489594172736733
977,945,1922,0.491675338189386
401,359,760,0.472368421052632
817,795,1612,0.49317617866005
785,765,1550,0.493548387096774
978,944,1922,0.491155046826223
986,936,1922,0.486992715920916
982,940,1922,0.489073881373569
919,879,1798,0.488876529477197
566,488,1054,0.462998102466793
563,491,1054,0.46584440227704
802,748,1550,0.48258064516129
375,339,714,0.474789915966387
913,885,1798,0.492213570634038
978,944,1922,0.491155046826223
975,947,1922,0.492715920915713
