V1,V2,V3,V4
568,720,1288,0.559006211180124
632,794,1426,0.556802244039271
419,541,960,0.563541666666667
874,1048,1922,0.545265348595213
755,919,1674,0.548984468339307
843,1017,1860,0.546774193548387
818,980,1798,0.545050055617353
469,585,1054,0.555028462998102
724,888,1612,0.550868486352357
789,947,1736,0.545506912442396
847,1013,1860,0.544623655913979
847,1013,1860,0.544623655913979
867,1055,1922,0.548907388137357
860,1062,1922,0.552549427679501
864,1058,1922,0.550468262226847
720,892,1612,0.553349875930521
779,957,1736,0.551267281105991
467,587,1054,0.556925996204934
876,1046,1922,0.544224765868887
879,1043,1922,0.542663891779396
875,1047,1922,0.54474505723205
871,1051,1922,0.546826222684703
368,482,850,0.567058823529412
878,1044,1922,0.54318418314256
660,828,1488,0.556451612903226
602,750,1352,0.554733727810651
388,496,884,0.561085972850679
859,1063,1922,0.553069719042664
524,654,1178,0.555178268251273
659,829,1488,0.557123655913978
758,916,1674,0.547192353643967
872,1050,1922,0.54630593132154
875,1047,1922,0.54474505723205
870,1052,1922,0.547346514047867
845,1015,1860,0.545698924731183
622,770,1392,0.55316091954023
870,1052,1922,0.547346514047867
859,1063,1922,0.553069719042664
791,945,1736,0.544354838709677
502,618,1120,0.551785714285714
494,622,1116,0.557347670250896
870,1052,1922,0.547346514047867
580,722,1302,0.554531490015361
465,589,1054,0.558823529411765
461,589,1050,0.560952380952381
363,465,828,0.561594202898551
875,1047,1922,0.54474505723205
468,586,1054,0.555977229601518
877,1045,1922,0.543704474505723
876,1046,1922,0.544224765868887
599,765,1364,0.560850439882698
573,729,1302,0.559907834101382
871,1051,1922,0.546826222684703
474,606,1080,0.561111111111111
637,789,1426,0.553295932678822
786,950,1736,0.547235023041475
552,688,1240,0.554838709677419
874,1048,1922,0.545265348595213
551,689,1240,0.555645161290323
660,828,1488,0.556451612903226
472,582,1054,0.552182163187856
314,400,714,0.560224089635854
445,547,992,0.551411290322581
868,1054,1922,0.548387096774194
308,406,714,0.568627450980392
655,833,1488,0.559811827956989
868,1054,1922,0.548387096774194
865,1057,1922,0.549947970863684
401,523,924,0.566017316017316
727,885,1612,0.549007444168734
664,824,1488,0.553763440860215
432,554,986,0.561866125760649
857,1065,1922,0.554110301768991
7,11,18,0.611111111111111
630,796,1426,0.55820476858345
453,567,1020,0.555882352941176
866,1056,1922,0.54942767950052
869,1053,1922,0.54786680541103
666,822,1488,0.55241935483871
548,692,1240,0.558064516129032
579,723,1302,0.555299539170507
865,1057,1922,0.549947970863684
878,1044,1922,0.54318418314256
