V1,V2,V3,V4
566,612,1178,0.519524617996604
946,976,1922,0.507804370447451
446,478,924,0.517316017316017
513,541,1054,0.513282732447818
566,610,1176,0.518707482993197
411,439,850,0.516470588235294
943,979,1922,0.509365244536941
509,531,1040,0.510576923076923
937,985,1922,0.512486992715921
506,548,1054,0.519924098671727
734,778,1512,0.514550264550265
659,705,1364,0.516862170087977
857,879,1736,0.506336405529954
952,970,1922,0.50468262226847
775,775,1550,0.5
834,840,1674,0.50179211469534
917,943,1860,0.506989247311828
886,912,1798,0.507230255839822
753,797,1550,0.514193548387097
822,860,1682,0.511296076099881
504,550,1054,0.521821631878558
634,668,1302,0.513056835637481
393,407,800,0.50875
948,974,1922,0.506763787721124
457,495,952,0.519957983193277
963,959,1922,0.498959417273673
719,769,1488,0.516801075268817
779,771,1550,0.49741935483871
928,932,1860,0.501075268817204
473,513,986,0.520283975659229
947,975,1922,0.507284079084287
630,666,1296,0.513888888888889
945,977,1922,0.508324661810614
296,316,612,0.516339869281046
612,628,1240,0.506451612903226
505,549,1054,0.520872865275142
509,545,1054,0.51707779886148
739,811,1550,0.523225806451613
944,978,1922,0.508844953173777
921,939,1860,0.504838709677419
298,310,608,0.509868421052632
854,882,1736,0.508064516129032
932,990,1922,0.515088449531738
641,661,1302,0.507680491551459
955,967,1922,0.50312174817898
701,725,1426,0.508415147265077
359,389,748,0.520053475935829
614,646,1260,0.512698412698413
956,966,1922,0.502601456815817
720,768,1488,0.516129032258065
814,860,1674,0.513739545997611
416,468,884,0.529411764705882
541,575,1116,0.515232974910394
1,1,2,0.5
541,575,1116,0.515232974910394
558,594,1152,0.515625
367,415,782,0.530690537084399
947,975,1922,0.507284079084287
808,866,1674,0.517323775388292
959,963,1922,0.501040582726327
953,969,1922,0.504162330905307
947,975,1922,0.507284079084287
935,987,1922,0.513527575442248
457,463,920,0.503260869565217
497,553,1050,0.526666666666667
938,984,1922,0.511966701352758
716,724,1440,0.502777777777778
934,988,1922,0.514047866805411
738,750,1488,0.504032258064516
939,983,1922,0.511446409989594
627,675,1302,0.518433179723502
831,843,1674,0.503584229390681
598,634,1232,0.51461038961039
931,991,1922,0.515608740894901
710,716,1426,0.502103786816269
924,936,1860,0.503225806451613
951,971,1922,0.505202913631634
671,693,1364,0.508064516129032
747,803,1550,0.518064516129032
952,970,1922,0.50468262226847
339,375,714,0.525210084033613
594,646,1240,0.520967741935484
511,543,1054,0.515180265654649
507,547,1054,0.518975332068311
578,600,1178,0.509337860780985
550,590,1140,0.517543859649123
947,975,1922,0.507284079084287
