V1,V2,V3,V4
935,987,1922,0.513527575442248
849,887,1736,0.51094470046083
850,890,1740,0.511494252873563
901,959,1860,0.515591397849462
780,832,1612,0.516129032258065
427,473,900,0.525555555555556
531,585,1116,0.524193548387097
561,589,1150,0.512173913043478
530,586,1116,0.525089605734767
666,714,1380,0.517391304347826
927,995,1922,0.517689906347555
640,694,1334,0.52023988005997
616,686,1302,0.526881720430108
723,765,1488,0.514112903225806
541,575,1116,0.515232974910394
940,982,1922,0.510926118626431
527,589,1116,0.527777777777778
502,552,1054,0.523719165085389
942,980,1922,0.509885535900104
431,493,924,0.533549783549784
940,982,1922,0.510926118626431
928,994,1922,0.517169614984391
869,929,1798,0.516685205784205
816,858,1674,0.512544802867383
717,771,1488,0.518145161290323
539,577,1116,0.517025089605735
937,985,1922,0.512486992715921
936,986,1922,0.513007284079084
759,791,1550,0.510322580645161
654,710,1364,0.520527859237537
505,549,1054,0.520872865275142
937,985,1922,0.512486992715921
