V1,V2,V3,V4
950,972,1922,0.505723204994797
956,966,1922,0.502601456815817
699,665,1364,0.487536656891496
669,633,1302,0.486175115207373
748,740,1488,0.497311827956989
583,533,1116,0.477598566308244
622,574,1196,0.479933110367893
514,512,1026,0.499025341130604
545,509,1054,0.48292220113852
347,337,684,0.492690058479532
655,647,1302,0.496927803379416
952,970,1922,0.50468262226847
424,392,816,0.480392156862745
865,871,1736,0.501728110599078
588,590,1178,0.500848896434635
869,867,1736,0.499423963133641
783,785,1568,0.500637755102041
920,940,1860,0.505376344086022
524,530,1054,0.502846299810247
953,969,1922,0.504162330905307
769,781,1550,0.503870967741936
863,873,1736,0.502880184331797
483,441,924,0.477272727272727
958,964,1922,0.50156087408949
620,620,1240,0.5
972,950,1922,0.494276795005203
524,530,1054,0.502846299810247
954,968,1922,0.503642039542144
804,808,1612,0.501240694789082
526,528,1054,0.500948766603416
654,642,1296,0.49537037037037
