V1,V2,V3,V4
878,796,1674,0.475507765830346
723,641,1364,0.469941348973607
1007,915,1922,0.476066597294485
1004,918,1922,0.477627471383975
675,565,1240,0.455645161290323
572,482,1054,0.4573055028463
711,653,1364,0.478739002932551
470,394,864,0.456018518518519
543,469,1012,0.463438735177866
602,514,1116,0.460573476702509
385,299,684,0.437134502923977
796,692,1488,0.46505376344086
942,856,1798,0.476084538375973
1009,913,1922,0.475026014568158
1010,912,1922,0.474505723204995
823,743,1566,0.474457215836526
1002,920,1922,0.478668054110302
490,446,936,0.476495726495726
1008,914,1922,0.475546305931322
573,481,1054,0.456356736242884
972,888,1860,0.47741935483871
922,814,1736,0.46889400921659
605,511,1116,0.457885304659498
800,688,1488,0.462365591397849
750,676,1426,0.474053295932679
853,759,1612,0.470843672456576
741,639,1380,0.46304347826087
933,865,1798,0.481090100111235
679,617,1296,0.47608024691358
1010,912,1922,0.474505723204995
