V1,V2,V3,V4
814,810,1624,0.498768472906404
983,939,1922,0.488553590010406
557,559,1116,0.50089605734767
717,709,1426,0.497194950911641
754,734,1488,0.493279569892473
803,809,1612,0.501861042183623
958,964,1922,0.50156087408949
968,954,1922,0.496357960457856
573,543,1116,0.486559139784946
961,961,1922,0.5
968,954,1922,0.496357960457856
843,831,1674,0.496415770609319
625,615,1240,0.495967741935484
967,955,1922,0.49687825182102
488,478,966,0.494824016563147
577,539,1116,0.482974910394265
964,958,1922,0.49843912591051
546,508,1054,0.481973434535104
477,459,936,0.490384615384615
969,953,1922,0.495837669094693
831,843,1674,0.503584229390681
831,843,1674,0.503584229390681
379,343,722,0.475069252077562
937,923,1860,0.496236559139785
621,621,1242,0.5
543,537,1080,0.497222222222222
684,680,1364,0.498533724340176
716,710,1426,0.497896213183731
906,892,1798,0.496106785317019
912,886,1798,0.492769744160178
978,944,1922,0.491155046826223
647,629,1276,0.49294670846395
