V1,V2,V3,V4
500,472,972,0.48559670781893
680,684,1364,0.501466275659824
939,921,1860,0.495161290322581
839,835,1674,0.498805256869773
966,956,1922,0.497398543184183
933,927,1860,0.498387096774194
558,534,1092,0.489010989010989
978,944,1922,0.491155046826223
538,518,1056,0.490530303030303
878,858,1736,0.494239631336406
560,556,1116,0.498207885304659
968,954,1922,0.496357960457856
801,749,1550,0.483225806451613
970,952,1922,0.49531737773153
968,954,1922,0.496357960457856
961,961,1922,0.5
975,947,1922,0.492715920915713
680,684,1364,0.501466275659824
730,696,1426,0.488078541374474
802,748,1550,0.48258064516129
967,955,1922,0.49687825182102
935,925,1860,0.497311827956989
540,514,1054,0.487666034155598
679,685,1364,0.502199413489736
732,724,1456,0.497252747252747
419,397,816,0.486519607843137
563,553,1116,0.495519713261649
